date,type,price,stop_loss,trailing_stop,cash,position_value,equity,stop_price,pnl_%
2024-01-31,BUY,469.9472351074219,462.07,460.11,406.95598034504076,602.6395689296293,1009.59554927467,,
2024-04-04,TRAILING_STOP,500.8800964355469,,,1049.2624838237798,0.0,1049.2624838237798,500.89,6.58
2024-04-05,BUY,506.1127624511719,496.76,494.42,481.3769363336603,567.8855474901195,1049.2624838237798,,
2024-04-15,STOP_LOSS,492.46490478515625,,,1033.9488586838088,0.0,1033.9488586838088,496.76,-2.7
2024-04-29,BUY,497.941650390625,486.5,483.64,583.9262947865914,450.02256389721737,1033.9488586838088,,
2024-06-17,SELL,534.1015625,,,1066.6289454871387,0.0,1066.6289454871387,,7.26
2024-06-24,BUY,531.5545654296875,522.71,520.5,425.6880106812364,640.9409348059023,1066.6289454871387,,
2024-07-05,SELL,543.2092895507812,,,1080.6820460696542,0.0,1080.6820460696542,,2.19
2024-07-11,BUY,545.0113525390625,536.65,534.56,376.30257345103314,704.3794726186211,1080.6820460696542,,
2024-07-16,SELL,553.2186279296875,,,1091.289231194059,0.0,1091.289231194059,,1.51
2024-07-17,BUY,545.4617919921875,536.19,533.87,449.60943568975847,641.6797955043006,1091.289231194059,,
2024-07-24,STOP_LOSS,530.0756225585938,,,1073.1889825594408,0.0,1073.1889825594408,536.19,-2.82
2024-07-31,BUY,539.4581909179688,526.47,523.22,627.4921354048793,445.6968471545615,1073.1889825594408,,
2024-08-02,STOP_LOSS,521.9174194335938,,,1058.69691129449,0.0,1058.69691129449,526.47,-3.25
2024-08-14,BUY,532.5437622070312,515.42,511.14,729.3876840744301,329.30922722006,1058.69691129449,,
2024-09-06,TRAILING_STOP,529.2236938476562,,,1056.643879744158,0.0,1056.643879744158,534.4,-0.62
2024-09-11,BUY,542.9938354492188,526.98,522.98,698.369847275404,358.2740324687541,1056.643879744158,,
2024-10-31,TRAILING_STOP,558.62890625,,,1066.9600923749997,0.0,1066.9600923749997,561.76,2.88
2024-11-05,BUY,566.5470581054688,555.38,552.59,525.7584885156278,541.2016038593719,1066.9600923749997,,
2024-12-18,TRAILING_STOP,575.95849609375,,,1075.9504935446985,0.0,1075.9504935446985,586.51,1.66
2024-12-24,BUY,592.7020874023438,580.17,577.03,567.2291621270481,508.72133141765033,1075.9504935446985,,
2024-12-30,STOP_LOSS,579.8091430664062,,,1064.8843678335206,0.0,1064.8843678335206,580.17,-2.18
2025-01-06,BUY,586.8471069335938,572.73,569.2,622.3506797218736,442.53368811164705,1064.8843678335206,,
2025-01-10,STOP_LOSS,572.189697265625,,,1053.8314079025731,0.0,1053.8314079025731,572.73,-2.5
2025-01-15,BUY,584.3038940429688,569.09,565.28,649.175853911362,404.65555399121115,1053.8314079025731,,
2025-02-24,TRAILING_STOP,588.6705932617188,,,1056.8555347473384,0.0,1056.8555347473384,589.64,0.75
2025-05-14,BUY,580.9304809570312,558.3,552.64,785.5904898949873,271.2650448523511,1056.8555347473384,,
2025-07-03,SELL,620.0804443359375,,,1075.1365802770056,0.0,1075.1365802770056,,6.74
2025-07-07,BUY,615.4595336914062,603.17,600.09,536.8803731186711,538.2562071583345,1075.1365802770056,,
2025-07-25,SELL,631.7413940429688,,,1089.376041880192,0.0,1089.376041880192,,2.65
2025-07-31,BUY,626.763671875,616.85,614.37,400.66472182087875,688.7113200593132,1089.376041880192,,
2025-08-01,STOP_LOSS,616.4907836914062,,,1078.0878088519771,0.0,1078.0878088519771,616.85,-1.64
2025-08-04,BUY,625.8612670898438,614.28,611.39,495.2299281058753,582.8578807461018,1078.0878088519771,,
2025-10-10,TRAILING_STOP,649.32275390625,,,1099.937239714744,0.0,1099.937239714744,657.38,3.75
2025-10-13,BUY,659.2860107421875,646.56,643.38,530.196802132479,569.740437582265,1099.937239714744,,
2025-11-17,TRAILING_STOP,661.901123046875,,,1102.1971621225048,0.0,1102.1971621225048,666.5,0.4
2025-11-25,BUY,671.1981811523438,651.45,646.51,727.6430549504378,374.55410717206695,1102.1971621225048,,
2026-01-20,TRAILING_STOP,675.7345581054688,,,1104.7286329565832,0.0,1104.7286329565832,679.27,0.68
2026-01-22,BUY,687.103515625,673.99,670.72,525.7364884140854,578.9921445424977,1104.7286329565832,,
2026-02-05,TRAILING_STOP,675.7744750976562,,,1095.1821449509598,0.0,1095.1821449509598,678.79,-1.65
2026-02-06,BUY,688.739013671875,672.95,669.0,617.5367625019442,477.64538244901564,1095.1821449509598,,
2026-03-06,STOP_LOSS,670.5487060546875,,,1082.5670378259028,0.0,1082.5670378259028,672.95,-2.64
2026-04-21,BUY,704.0800170898438,686.38,681.95,652.0274782135666,430.5395596123362,1082.5670378259028,,
2026-05-06,SELL,733.8300170898438,,,1100.7589358880127,0.0,1100.7589358880127,,4.23
